,timestamp,pg_views,rolling_avg,pg_view_action,pg_view_christmas,pg_view_halloween,pg_view_valentine,pg_view_comedy,pg_view_romance,horror
290,2007-09-15 15:42:00,93,63.33333333333334,39,0,0,0,24,18,10
291,2007-09-16 15:42:00,45,66.0,11,0,0,0,14,6,2
292,2007-09-17 15:42:00,80,72.66666666666667,28,1,1,0,17,11,7
293,2007-09-18 15:42:00,57,60.66666666666666,14,1,0,0,10,4,4
294,2007-09-19 15:42:00,48,61.66666666666666,17,0,0,0,12,6,4
295,2007-09-20 15:42:00,50,51.66666666666666,20,0,0,0,16,8,8
296,2007-09-21 15:42:00,30,42.66666666666666,2,0,0,0,4,2,0
297,2007-09-22 15:42:00,86,55.33333333333334,23,0,0,0,20,13,7
298,2007-09-23 15:42:00,53,56.33333333333334,6,0,0,0,14,8,3
299,2007-09-24 15:42:00,51,63.33333333333334,16,4,1,0,10,6,2
300,2007-09-25 15:42:00,38,47.33333333333334,11,1,0,0,9,3,2
301,2007-09-26 15:42:00,28,39.0,7,0,2,0,6,4,4
302,2007-09-27 15:42:00,15,27.0,1,0,0,0,2,1,2
303,2007-09-28 15:42:00,72,38.333333333333336,16,0,0,0,21,8,2
304,2007-09-29 15:42:00,12,33.0,4,0,0,0,1,1,1
305,2007-09-30 15:42:00,53,45.66666666666666,27,0,0,0,11,3,6
306,2007-10-01 15:42:00,48,37.66666666666666,19,2,0,0,12,6,5
307,2007-10-02 15:42:00,30,43.66666666666666,12,0,0,0,9,3,1
308,2007-10-03 15:42:00,79,52.33333333333334,16,0,1,0,18,9,3
309,2007-10-04 15:42:00,100,69.66666666666667,23,1,3,0,21,14,3
310,2007-10-05 15:42:00,65,81.33333333333333,15,2,1,0,12,12,2
311,2007-10-06 15:42:00,64,76.33333333333333,17,3,0,0,13,10,7
312,2007-10-07 15:42:00,100,76.33333333333333,24,0,0,0,18,9,10
313,2007-10-08 15:42:00,33,65.66666666666667,14,1,0,0,11,9,3
314,2007-10-09 15:42:00,0,44.33333333333334,0,0,0,0,0,0,0
315,2007-10-10 15:42:00,0,11.0,0,0,0,0,0,0,0
316,2007-10-11 15:42:00,0,0.0,0,0,0,0,0,0,0
317,2007-10-12 15:42:00,0,0.0,0,0,0,0,0,0,0
318,2007-10-13 15:42:00,0,0.0,0,0,0,0,0,0,0
319,2007-10-14 15:42:00,0,0.0,0,0,0,0,0,0,0
320,2007-10-15 15:42:00,0,0.0,0,0,0,0,0,0,0
321,2007-10-16 15:42:00,0,0.0,0,0,0,0,0,0,0
322,2007-10-17 15:42:00,0,0.0,0,0,0,0,0,0,0
323,2007-10-18 15:42:00,0,0.0,0,0,0,0,0,0,0
324,2007-10-19 15:42:00,0,0.0,0,0,0,0,0,0,0
325,2007-10-20 15:42:00,0,0.0,0,0,0,0,0,0,0
326,2007-10-21 15:42:00,0,0.0,0,0,0,0,0,0,0
327,2007-10-22 15:42:00,0,0.0,0,0,0,0,0,0,0
328,2007-10-23 15:42:00,0,0.0,0,0,0,0,0,0,0
329,2007-10-24 15:42:00,0,0.0,0,0,0,0,0,0,0
330,2007-10-25 15:42:00,0,0.0,0,0,0,0,0,0,0
331,2007-10-26 15:42:00,0,0.0,0,0,0,0,0,0,0
332,2007-10-27 15:42:00,0,0.0,0,0,0,0,0,0,0
333,2007-10-28 15:42:00,0,0.0,0,0,0,0,0,0,0
334,2007-10-29 15:42:00,0,0.0,0,0,0,0,0,0,0
335,2007-10-30 15:42:00,0,0.0,0,0,0,0,0,0,0
336,2007-10-31 15:42:00,0,0.0,0,0,0,0,0,0,0
337,2007-11-01 15:42:00,0,0.0,0,0,0,0,0,0,0
338,2007-11-02 15:42:00,0,0.0,0,0,0,0,0,0,0
339,2007-11-03 15:42:00,0,0.0,0,0,0,0,0,0,0
340,2007-11-04 15:42:00,0,0.0,0,0,0,0,0,0,0
341,2007-11-05 15:42:00,0,0.0,0,0,0,0,0,0,0
342,2007-11-06 15:42:00,0,0.0,0,0,0,0,0,0,0
343,2007-11-07 15:42:00,0,0.0,0,0,0,0,0,0,0
344,2007-11-08 15:42:00,0,0.0,0,0,0,0,0,0,0
345,2007-11-09 15:42:00,0,0.0,0,0,0,0,0,0,0
346,2007-11-10 15:42:00,0,0.0,0,0,0,0,0,0,0
347,2007-11-11 15:42:00,0,0.0,0,0,0,0,0,0,0
348,2007-11-12 15:42:00,0,0.0,0,0,0,0,0,0,0
349,2007-11-13 15:42:00,0,0.0,0,0,0,0,0,0,0
350,2007-11-14 15:42:00,0,0.0,0,0,0,0,0,0,0
351,2007-11-15 15:42:00,0,0.0,0,0,0,0,0,0,0
352,2007-11-16 15:42:00,0,0.0,0,0,0,0,0,0,0
353,2007-11-17 15:42:00,0,0.0,0,0,0,0,0,0,0
354,2007-11-18 15:42:00,0,0.0,0,0,0,0,0,0,0
355,2007-11-19 15:42:00,0,0.0,0,0,0,0,0,0,0
356,2007-11-20 15:42:00,0,0.0,0,0,0,0,0,0,0
357,2007-11-21 15:42:00,0,0.0,0,0,0,0,0,0,0
358,2007-11-22 15:42:00,0,0.0,0,0,0,0,0,0,0
359,2007-11-23 15:42:00,0,0.0,0,0,0,0,0,0,0
360,2007-11-24 15:42:00,0,0.0,0,0,0,0,0,0,0
361,2007-11-25 15:42:00,0,0.0,0,0,0,0,0,0,0
362,2007-11-26 15:42:00,0,0.0,0,0,0,0,0,0,0
363,2007-11-27 15:42:00,0,0.0,0,0,0,0,0,0,0
