,unnamed: 0,unnamed: 0,mth_day,prostitution,prostitution_norm,prostitution_ravg
248,248,248,09-05,1.7756131489040536,0.04715647157323052,0.7665644672795642
249,249,249,09-06,1.9078250680060216,0.4451025594985514,0.8641087737617075
250,250,250,09-07,2.1622650490024475,1.2109442153573482,0.6113488155757549
251,251,251,09-08,2.119171598998744,1.081236773239718,0.46057304521285497
252,252,252,09-09,1.751691919482487,-0.0248442960681103,0.6864159082911322
253,253,253,09-10,1.7612227146819366,0.003842547676388071,0.8654049245838958
254,254,254,09-11,2.2258115941064918,1.4022136500428923,0.7616507284817461
255,255,255,09-12,2.264624374147421,1.5190366572551344,0.7555712328521089
256,256,256,09-13,1.9554399267393323,0.5884190387444505,0.8885184859158558
257,257,257,09-14,2.1070526440635637,1.0447597994618951,0.9310369986319184
258,258,258,09-15,2.016710905725541,0.7728392223143711,0.4411854752553059
259,259,259,09-16,1.84597973580798,0.2589536239727644,0.19212703029174885
260,260,260,09-17,1.2493344488988478,-1.5368954902167826,0.382252256619098
261,261,261,09-18,1.7681476506466751,0.024685987473792248,0.14969187626186994
262,262,262,09-19,2.334438315794768,1.7291703967085452,-0.053643551600231085
263,263,263,09-20,1.6434634022984904,-0.3506024826814731,-0.03999289557342186
264,264,264,09-21,1.6113791089604506,-0.4471733448582352,0.09844180958076564
265,265,265,09-22,1.8731911519027744,0.3408575601336196,0.055747017517861513
266,266,266,09-23,1.5252922018824877,-0.7062872592916575,-0.2874986527908785
267,267,267,09-24,1.6830392317089522,-0.23148276490363265,-0.4637595321199862
268,268,268,09-25,1.6502074085647973,-0.33030362514389483,-0.6988282010123421
269,269,269,09-26,1.2921024040256543,-1.4081677586561192,-0.9747250189750282
270,270,270,09-27,1.142789808379074,-1.857585358212372,-1.1072930219416843
271,271,271,09-28,1.3232144256510756,-1.3145233476424976,-1.3092954263458394
272,272,272,09-29,1.2610292182942258,-1.5016952770915937,-1.4453978250435595
273,273,273,09-30,1.280364703276391,-1.443497191328562,-1.5153438589425778
274,274,274,10-01,1.3788989091644912,-1.146918017330218,-1.4197391019481336
275,275,275,10-02,1.1526709635975338,-1.8278439620502271,-1.433252444813957
276,276,276,10-03,1.3333697202974666,-1.2839568162457071,-1.2941425518222829
277,277,277,10-04,1.2962767316068209,-1.395603404837437,-1.2832023751166426
278,278,278,10-05,1.5383329005249224,-0.6670359191415492,-0.9870254419609266
279,279,279,10-06,1.302173010503758,-1.3778561310947202,-0.7232351545155634
280,280,280,10-07,1.969302311752045,0.6301435816040774,-0.4639783656512299
281,281,281,10-08,1.6785143559842362,-0.2451022373780489,-0.17853457019019292
282,282,282,10-09,1.8501759707320693,0.27158391694029377,-0.11083601225838073
283,283,283,10-10,1.865284541540144,0.3170593679287845,0.19343222837243754
284,284,284,10-11,1.6732841896997566,-0.26084457155067625,0.3575935954726315
285,285,285,10-12,1.908705742994836,0.4477533126901898,0.38530955874474776
286,286,286,10-13,2.2965439665179894,1.615111784205241,0.5282645883693062
287,287,287,10-14,1.7337637599384796,-0.07880645774535121,0.6265450004798393
288,288,288,10-15,2.135144604204176,1.1293140946876443,0.4710511407049962
289,289,289,10-16,2.0611981432494937,0.9067418405919828,0.2656557530601122
290,290,290,10-17,1.363320469992142,-1.193807730199734,0.16607432163775573
291,291,291,10-18,1.4992675924634669,-0.7846190131791151,0.04730009453934821
292,292,292,10-19,2.098036894006074,1.0176231956711022,0.05350478922953742
293,293,293,10-20,1.4969974896167515,-0.7914518203357964,0.02598075972382391
294,294,294,10-21,2.1475131327660497,1.1665422628287796,0.31203807180292803
295,295,295,10-22,2.0063313428543736,0.7415976635577018,0.6652814786558238
296,296,296,10-23,1.9335512728675257,0.5225361422748908,0.3187003090915065
297,297,297,10-24,2.2034281330073866,1.3348414279382599,0.4344302437673073
298,298,298,10-25,1.4071569540886537,-1.061863821714802,0.2744940558110148
299,299,299,10-26,1.7276952231836826,-0.0970722122809916,0.013476865133759064
300,300,300,10-27,1.828694011505744,0.20692513509102434,-0.1311523705452845
301,301,301,10-28,1.4860158818637816,-0.8245054805058323,-0.4470635748989292
302,302,302,10-29,1.6452452527168928,-0.3452392717993706,-0.14379303651372966
303,303,303,10-30,1.5736861474360018,-0.5606257981836082,-0.21251101612290693
304,304,304,10-31,2.0117008524247337,0.7577594085963952,-0.2556185280309465
305,305,305,11-01,1.5907118040229815,-0.5093800899360551,-0.08290004819888938
306,306,306,11-02,1.7427628708310947,-0.05171993635721262,0.006735322515276476
307,307,307,11-03,1.8303154095011465,0.2118053984865104,0.2312999290876493
308,308,308,11-04,1.823925703277224,0.1925729524856245,-0.026446374786219955
309,309,309,11-05,2.0213364975439827,0.7867618412506291,-0.11532120014735055
310,310,310,11-06,1.4979056247204483,-0.7887184146468207,-0.16597467937075455
311,311,311,11-07,1.4135474356216151,-1.0426290421028388,-0.12558630416049016
312,312,312,11-08,1.641789489252211,-0.35564081169763645,-0.3631647265069951
313,313,313,11-09,1.910826183568032,0.4541356497480968,-0.6029873057387822
314,314,314,11-10,1.3503334236886793,-1.232897581593405,-0.6426348175661851
315,315,315,11-11,1.5432706830082912,-0.6521736341400943,-0.5742028932456356
316,316,316,11-12,1.418871698487165,-1.0266034856112372,-0.4873275739186692
317,317,317,11-13,1.5499606280130185,-0.6320374961795414,-0.644984267881465
318,318,318,11-14,1.8149680132683084,0.165611104264162,-0.0034330759943771807
319,319,319,11-15,1.5965510387599056,-0.4918045140286786,0.00846611503663112
320,320,320,11-16,2.6292108926004656,2.616409569729122,0.21668094590915046
321,321,321,11-17,1.5669907033282158,-0.5807784879540445,0.5779907591561616
322,322,322,11-18,1.8339301681205729,0.2226854996238794,0.4534470583395776
323,323,323,11-19,2.2702008602837607,1.5358213833025252,0.9229208995843544
