,unnamed: 0,unnamed: 0,mth_day,social commentary,social commentary_norm,social commentary_ravg
311,311,311,11-07,7.5198138646651875,-0.37738198798608735,0.4400708830560653
312,312,312,11-08,8.21352848275087,0.3956444290416965,0.5143655646851544
313,313,313,11-09,8.42881064390768,0.6355396155497764,0.3124990776497127
314,314,314,11-10,8.009558496002807,0.16835472816705574,0.029580800012810087
315,315,315,11-11,7.427623631712079,-0.4801122514211555,0.2607986169273592
316,316,316,11-12,7.710800751911668,-0.16455973327442458,0.31012437742619064
317,317,317,11-13,8.76478435485,1.0099249135012072,0.20265959469967773
318,318,318,11-14,8.479118379958765,0.691598992034685,0.193426136860827
319,319,319,11-15,7.850176674372038,-0.00924908080930112,0.008913101340766283
320,320,320,11-16,7.959841814627932,0.11295398113395134,0.3031185509709129
321,321,321,11-17,6.43413062437263,-1.5871904645415198,0.5333122425365492
322,322,322,11-18,9.294922199509502,1.6006729645064552,0.4442096593005818
323,323,323,11-19,10.004240538850881,2.3910870628950245,0.5186694019325595
324,324,324,11-20,7.999353938756504,0.15698349261888056,0.5703357827654193
325,325,325,11-21,8.251098123768072,0.4375093749825649,0.7898644870163861
326,326,326,11-22,8.238034560887327,0.4229522661311105,0.5401345550395348
327,327,327,11-23,7.616162191784098,-0.27001823903571925,0.06939378980144806
328,328,328,11-24,7.950274974758903,0.10229337264534676,0.056237239673966495
329,329,329,11-25,7.469581363061574,-0.4333575285334955,0.12056434924478344
330,330,330,11-26,7.928513737599316,0.0780441918539912,0.1763321488318117
331,331,331,11-27,8.59746136775696,0.8234720324074665,0.26199954641815953
332,332,332,11-28,8.538311008934798,0.7575590636532804,0.2427980806553965
333,333,333,11-29,8.077430200405374,0.2439861464823677,0.32542389707465297
334,334,334,11-30,7.846886496474947,-0.01291542193123082,0.1153951140946196
335,335,335,12-01,7.914472265251081,0.062397369982042615,0.1550245704782444
336,336,336,12-02,6.797633598737848,-1.182128506026209,0.19189899928392226
337,337,337,12-03,8.81084243154372,1.0612487707092153,0.2355020156038821
338,338,338,12-04,8.736857887017536,0.9788056364873476,0.4519790401757413
339,339,339,12-05,8.312206522255426,0.5056042444021265,0.4000793717224185
340,340,340,12-06,9.012486582970784,1.2859467254999242,0.5666486375123301
341,341,341,12-07,7.635023403839845,-0.2490006407378937,0.26726806128590913
342,342,342,12-08,7.694510073256372,-0.18271291128673967,-0.010888337961824831
343,343,343,12-09,7.198856003723737,-0.7350346866493106,-0.2242747173209214
344,344,344,12-10,7.23915103492199,-0.6901327589990561,-0.4332336636884944
345,345,345,12-11,7.163247722909802,-0.7747140317524531,-0.5274617214098071
346,346,346,12-12,7.887366878273108,0.03219304729448652,-0.2913310860525332
347,347,347,12-13,7.1276613295157025,-0.8143689870657698,-0.08671720711441583
348,348,348,12-14,8.965933170192887,1.2340709008569035,0.12809979382825462
349,349,349,12-15,8.300580103360693,0.4926485869793936,0.345633956958381
350,350,350,12-16,8.395812881022135,0.5987692466569666,0.1979662107663538
351,351,351,12-17,8.334539872096316,0.5304909470283051,0.3460513238026965
352,352,352,12-18,7.092263850252057,-0.8538134298576768,-0.0917760084045256
353,353,353,12-19,7.925011629877992,0.07414169115228658,-0.1229343535467094
354,354,354,12-20,6.608493264963702,-1.3928930923864289,-0.2444285292656017
355,355,355,12-21,8.132810937720018,0.30569851612629073,-0.16755992442944326
356,356,356,12-22,7.741638970387693,-0.13019580765638716,-0.17284855611154248
357,357,357,12-23,8.748431612446335,0.991702576045256,-0.3810894828131892
358,358,358,12-24,7.063787712619018,-0.8855452199502725,-0.36759404852058575
359,359,359,12-25,6.80375803423445,-1.1753038690575939,-0.6708833743348671
360,360,360,12-26,6.6811581558908975,-1.3119204866308083,-1.0388901276904488
361,361,361,12-27,6.499778217034955,-1.5140374387593976,-1.3784427470837326
362,362,362,12-28,5.7601413754781285,-2.338236327789877,-1.4612873232132884
363,363,363,12-29,6.920142613567747,-1.0456131403144482,
364,364,364,12-30,6.6177189194373796,-1.3826126767276057,
365,365,365,12-31,,,
