,unnamed: 0,unnamed: 0,mth_day,lesbian,lesbian_norm,lesbian_ravg
312,312,312,11-08,0.8429597800857429,0.09124797900343977,0.5868149124792927
313,313,313,11-09,0.7700289418799247,-0.24852859913622544,0.1864254150273041
314,314,314,11-10,1.088689493659489,1.236075095753438,0.19054166859921354
315,315,315,11-11,0.8859076643150812,0.2913373445006661,0.4418803032611479
316,316,316,11-12,0.9169414634367936,0.4359203265650075,0.338310658140077
317,317,317,11-13,1.0047970592395121,0.8452296728805659,0.2444935274100439
318,318,318,11-14,0.7095764655668593,-0.5301698917229856,0.09077155238033234
319,319,319,11-15,0.6492055110301325,-0.811431383516424,-0.13701998507662885
320,320,320,11-16,0.890716945623013,0.3137432455751687,-0.3293633308001501
321,321,321,11-17,0.5925438099749017,-1.075411880241101,-0.4827683181245666
322,322,322,11-18,0.6692299554146879,-0.7181397477761196,-0.2881114344375013
323,323,323,11-19,0.8072327473299876,-0.07520025106593338,-0.1538919651364804
324,324,324,11-20,0.9602674890781034,0.637771410399407,-0.14945073032748776
325,325,325,11-21,0.8220615410706706,-0.0061145677102989755,0.06453245287618281
326,326,326,11-22,0.8964366390591312,0.3403906544291247,0.23710320339643284
327,327,327,11-23,0.8681244223603386,0.20848721898092248,0.37870064467329495
328,328,328,11-24,0.8914771077197349,0.3172847553453806,0.577850899402136
329,329,329,11-25,0.9895905802917848,0.7743843965952395,0.4552688784041068
330,330,330,11-26,1.216745350250272,1.832672938772452,0.5529410326616355
331,331,331,11-27,0.664192927713666,-0.7416066936984742,0.4099389176150777
332,332,332,11-28,1.0222248046537858,0.9264235799742976,0.3386480280890949
333,333,333,11-29,0.6839575647272615,-0.6495254712984233,0.11864301483031955
334,334,334,11-30,0.7996643460861567,-0.11046058181051703,-0.03106428578828628
335,335,335,12-01,0.7062546873771893,-0.5456456829574128,0.31689881861918306
336,336,336,12-02,1.0239431451172734,0.9344291350608168,0.024585542501318686
337,337,337,12-03,1.1123210654696016,1.3461719327463422,0.36311108049906576
338,338,338,12-04,0.6457659145910057,-0.8274560767328887,0.7028488849305238
339,339,339,12-05,1.1199314280599402,1.381627756688059,0.7550750495337786
340,340,340,12-06,1.2371994401715267,1.927966244778231,0.3032770826857946
341,341,341,12-07,0.7735147318742782,-0.23228869533788346,-0.13977412088854874
342,342,342,12-08,0.4420901297802859,-1.7763586660270871,-0.010195444909079235
343,343,343,12-09,0.5417326660863178,-1.3121352886997182,-0.26661433257310285
344,344,344,12-10,0.8126452475548859,-0.04998402085607158,-0.7932882610293239
345,345,345,12-11,0.789699523703299,-0.1568855692960827,-0.4959952282553432
346,346,346,12-12,0.5589165884146066,-1.2320773259590956,0.0576717144057229
347,347,347,12-13,1.156386856698207,1.5514695013060011,0.2386894841071072
348,348,348,12-14,1.15513623383269,1.5456429899393094,-0.04946972265122385
349,349,349,12-15,0.7748584055958221,-0.22602867049141265,-0.1280841696798219
350,350,350,12-16,0.4415362217237364,-1.7789392614060575,-0.14652724823249855
351,351,351,12-17,0.6884550374304548,-0.6285722514676709,-0.4090236861378931
352,352,352,12-18,0.5351644654406169,-1.3427357972751557,-0.6310949095803743
353,353,353,12-19,0.8183279119534147,-0.02350912612636607,-0.36561510962490057
354,354,354,12-20,0.869139349249414,0.2132156492844217,-0.20291244553143886
355,355,355,12-21,1.1167595061980014,1.36685012924143,-0.3690480853781804
356,356,356,12-22,0.6510746496334726,-0.8027232768452874,-0.18095742985239527
357,357,357,12-23,0.47449541367612397,-1.6253860905481197,-0.3661210404530622
358,358,358,12-24,0.7773990992923716,-0.21419186412044533,-0.6276915216925718
359,359,359,12-25,0.5798629053259451,-1.1344907897303669,-0.6955483324219426
360,360,360,12-26,0.5322729080518939,-1.356207238152636,-0.4859792187924505
361,361,361,12-27,1.0293693609755898,0.9597092648652056,-0.07616035477559975
