,unnamed: 0,unnamed: 0,mth_day,childish,childish_norm,childish_ravg
216,216,216,08-04,2.048007312038969,-1.2922042115788852,-0.4809248670699036
217,217,217,08-05,2.492592570216687,-0.4561893148187321,-0.2220538851854265
218,218,218,08-06,2.749819831699124,0.02751053464000581,-0.3869699698170705
219,219,219,08-07,3.1194543572972835,0.7225852454470073,-0.18034047094512587
220,220,220,08-08,2.4848324466063265,-0.4707817440988952,0.08345343949409571
221,221,221,08-09,2.9410126178456624,0.3870366647387463,0.22298205763398568
222,222,222,08-10,2.889706790597263,0.2905592510564443,0.022153947717779444
223,223,223,08-11,2.9377930107301284,0.3809823940206079,-0.4052747462793947
224,224,224,08-12,2.109028256507456,-1.1774581248572316,-0.5783100087027125
225,225,225,08-13,1.755637776924914,-1.8419869185360376,-0.830251299959864
226,226,226,08-14,1.9327208003920344,-1.5089933186388018,-0.9897450552428292
227,227,227,08-15,2.137131841654256,-1.1246110828041629,-1.2718629009637608
228,228,228,08-16,2.3808026599770598,-0.6664032806413455,-1.2504620441572154
229,229,229,08-17,2.0376265010486687,-1.311724680304983,-1.1597678298150411
230,230,230,08-18,2.177312964008011,-1.0490529840179597,-0.9939426294178614
231,231,231,08-19,2.045020017754352,-1.297821632482994,-0.6466119630951671
232,232,232,08-20,2.461826966920808,-0.5140421162557224,-0.7532970547232791
233,233,233,08-21,3.2453759260015858,0.9593729151320024,-0.22431259652082725
234,234,234,08-22,2.0403975845004787,-1.306513830410017,0.02034726188651383
235,235,235,08-23,3.7254817737238537,1.8621820689097284,0.13879734099819102
236,236,236,08-24,2.957960534312905,0.4189061664260868,0.28778456847873546
237,237,237,08-25,2.4229641850684733,-0.5871211578129307,0.2990743448037258
238,238,238,08-26,2.9372074314410948,0.3798812486275444,0.4908527753896858
239,239,239,08-27,3.2813987395303816,1.0271115730819442,0.27176761820763434
240,240,240,08-28,2.6523139276570125,-0.15584324689425685,0.2026551582873384
241,241,241,08-29,3.0264365901069965,0.5476711258174198,0.3278285288888848
242,242,242,08-30,2.7374401994047304,0.004231406904310953,0.3245745019434844
243,243,243,08-31,2.822360670716236,0.16391906579634782,0.33877435521425703
244,244,244,09-01,2.9268246565749205,0.36035708695514185,0.07278705262456447
245,245,245,09-02,3.326706870691232,1.1123106927065802,-0.08607079161644975
246,246,246,09-03,1.8036158909202848,-1.7517670624324122,-0.2361410397378365
247,247,247,09-04,2.519561490375065,-0.4054759396286655,-0.16224747370592515
248,248,248,09-05,2.2586040906387246,-0.8961900818240095,-0.2197596014779046
249,249,249,09-06,3.058136302891804,0.6072804619878159,-0.5772323446232828
250,250,250,09-07,2.7433180400808057,0.015284320323265209,-0.3691859284229013
251,251,251,09-08,2.186101990907276,-1.0325257661656893,-0.5091672450733059
252,252,252,09-09,2.4674392511343908,-0.5034885652301234,-0.5079752810010351
253,253,253,09-10,2.0729166037043565,-1.2453638395310935,-0.6062558838890457
254,254,254,09-11,2.26240734574958,-0.8890382973903848,-0.9589481585589616
255,255,255,09-12,2.744547819876792,0.01759684465975208,-0.8272487345396403
256,256,256,09-13,1.6179664230289632,-2.10086932769623,-0.7471142137066343
257,257,257,09-14,2.6063214582138596,-0.24232922204976184,-0.5871918702647435
258,258,258,09-15,2.723128187574796,-0.022681440232086986,-0.5815309332132741
259,259,259,09-16,2.5831882504635164,-0.28582977887974903,-0.4699215955113753
260,260,260,09-17,2.2804699604492127,-0.8550726750815681,-0.023607421377844256
261,261,261,09-18,3.1006649159443644,0.6872528708711451,0.4426327533099051
262,262,262,09-19,3.042041781765957,0.5770157171049564,0.3616770397841833
263,263,263,09-20,4.0939756321263525,2.5551118260767343,0.539998561820538
264,264,264,09-21,2.4648190334799955,-0.5084157213864184,0.7097902502554779
265,265,265,09-22,3.1521670106775543,0.7840993533383798,0.5671993601701725
266,266,266,09-23,2.8222321845326563,0.16367745552807114,0.4118993890664875
267,267,267,09-24,2.645693542146798,-0.16829246964068756,-0.16714359246655774
268,268,268,09-25,2.5465189530530212,-0.3547841095171541,-0.2486680778868938
269,269,269,09-26,2.246396304735105,-0.9191460631215372,-0.4900035227700278
270,270,270,09-27,2.204695072491745,-0.9975626339084344,-0.8083506343959065
271,271,271,09-28,2.3821268009640333,-0.6639133159604247,-1.0114705734907028
272,272,272,09-29,1.8064672739253744,-1.746405214227201,-1.0404202402015326
273,273,273,09-30,1.9975893211804348,-1.3870121042094643,-1.0291048408188022
274,274,274,10-01,2.45414790728335,-0.5284821097821331,-0.6157725815095301
275,275,275,10-02,2.282500874943967,-0.8512536668251552,-0.6727993772334604
276,276,276,10-03,3.5235335041775784,1.4824309219471985,-0.6007850070579616
277,277,277,10-04,2.2001687559706418,-1.0060740903040069,-0.6324725390761339
