,unnamed: 0,unnamed: 0,mth_day,political,political_norm,political_ravg
328,328,328,11-24,2.267596076292344,0.5269466287884567,-0.15148997090444324
329,329,329,11-25,1.8515685387226823,-0.4865582540316866,-0.0220791139997558
330,330,330,11-26,2.132293460101476,0.19732935641060845,-0.04035254237184591
331,331,331,11-27,2.0485524047885404,-0.006676294147943981,0.12855591549087034
332,332,332,11-28,2.042486815965992,-0.021452969568865644,0.2157997459675461
333,333,333,11-29,2.2818810823081392,0.5617470254946485,0.1907902339794476
334,334,334,11-30,2.4824692549613645,1.050409611648511,0.06647273066539866
335,335,335,12-01,1.7899725117201724,-0.6366153259602778,0.12998083315437098
336,336,336,12-02,1.8261113844711792,-0.548575663473685,-0.08934944658191522
337,337,337,12-03,2.204966764159106,0.3743723207858899,-0.2263281391426483
338,338,338,12-04,1.5022973936560562,-1.3374346479865828,0.9989132291785021
339,339,339,12-05,1.9445157130936352,-0.2601251298697499,1.0807714890564994
340,340,340,12-06,5.5001211165257295,8.401857821575412,1.1790775590187972
341,341,341,12-07,1.991581547043335,-0.1454657666922929,0.9728358831559352
342,342,342,12-08,2.0682297969691867,0.0412607563001002,1.097793960041555
343,343,343,12-09,1.6970133166253378,-0.8630777343912809,0.8507609412603524
344,344,344,12-10,1.8100571404952248,-0.5876861866728648,-0.5783434918857228
345,345,345,12-11,1.3360971041020009,-1.7423232425569652,-0.7659180344736253
346,346,346,12-12,1.980374098056816,-0.17276877730103948,-0.6693085089867413
347,347,347,12-13,1.5296034566381276,-1.2709130222197074,-0.21932087068806785
348,348,348,12-14,2.3061697833000525,0.6209179092214034,-0.1346009268990132
349,349,349,12-15,2.8052896689440443,1.8368480954007598,0.059150034120607965
350,350,350,12-16,2.018714228556961,-0.07936652393853688,0.01706244157152359
351,351,351,12-17,1.8132871201409424,-0.5798174764392381,-0.025604797212209096
352,352,352,12-18,1.8767163982041464,-0.4252943325955457,-0.2729571652336133
353,353,353,12-19,1.4245181437581318,-1.5269164549221037,-0.6468878562928878
354,354,354,12-20,1.6969646477887463,-0.8631962989070215,-0.6407063469232676
355,355,355,12-21,1.8843342758714,-0.40673605095488696,-0.7290940982365077
356,356,356,12-22,2.033938692681995,-0.042277467720815205,-0.5600934940916695
357,357,357,12-23,1.5955965742729419,-1.110143984318679,-0.3979353777501964
358,358,358,12-24,2.2929486614046333,0.5887092922734831,-0.3657017915217705
359,359,359,12-25,1.823898016408136,-0.5539677568732645,-0.52756063932886
360,360,360,12-26,1.7763528761019851,-0.6697947815364663,-0.7219468576540742
361,361,361,12-27,1.4856914728904749,-1.3778891377974245,-0.7860875849620059
362,362,362,12-28,1.5551840988868997,-1.2085947776720989,-1.0184511342727722
363,363,363,12-29,1.4376241207080696,-1.4949883481662711,
364,364,364,12-30,1.7206595473844917,-0.8054720035911139,
365,365,365,12-31,,,
