,unnamed: 0,unnamed: 0,mth_day,fairy tale,fairy tale_norm,fairy tale_ravg
311,311,311,11-07,2.0754653369301623,1.1979314649509092,0.6439457196724173
312,312,312,11-08,1.9092307426018384,0.6961256815163749,0.7032150793963483
313,313,313,11-09,2.4964656177000584,2.46878833184736,0.5882771742157793
314,314,314,11-10,1.445246996813581,-0.7044836681615431,0.6048732150712497
315,315,315,11-11,1.4702408838537109,-0.6290356116488569,0.30797592687825237
316,316,316,11-12,1.8773581310691003,0.5999130919232525,0.07765725320156674
317,317,317,11-13,1.4853414058489909,-0.5834522642070749,-0.32684759577588696
318,318,318,11-14,1.4514409057908837,-0.6857863605437389,-0.36367729788368613
319,319,319,11-15,1.6924569550651904,0.04175923798263755,-0.44185421702437927
320,320,320,11-16,1.372042931122436,-0.9254618808083384,-0.3065136932289896
321,321,321,11-17,1.3148535742426806,-1.0980971264930155,-0.04362780916349818
322,322,322,11-18,2.1463659162961664,1.4119562346955905,0.20297927472657418
323,323,323,11-19,2.007863023593211,0.9938630401858736,0.36411406996014883
324,324,324,11-20,1.941606183700304,0.7938561427966953,0.6056855912013902
325,325,325,11-21,2.012734379544002,1.0085680093840852,0.6022016709036974
326,326,326,11-22,1.8521993401613464,0.5239672466391098,0.381812163486645
327,327,327,11-23,1.307928806575852,-1.1190006482791721,0.285537410369277
328,328,328,11-24,1.7083116542395504,0.08961919019327677,0.3378938360148453
329,329,329,11-25,1.816503795897744,0.4162145214816656,0.3034570861083931
330,330,330,11-26,2.045671734138196,1.1079946966701046,0.5146529570559789
331,331,331,11-27,1.9442866333482047,0.8019475099453723,0.9130775589146708
332,332,332,11-28,2.2719799934311893,1.7911424723246248,1.0672280998868853
333,333,333,11-29,2.099852147200852,1.271546962872979,1.411070721662883
334,334,334,11-30,2.014706918980665,1.0145224360265643,1.2993386659786461
335,335,335,12-01,2.4999379925206755,2.4792702521376526,1.2390364861363306
336,336,336,12-02,1.82358900536197,0.4376023625646815,0.9128057279945604
337,337,337,12-03,1.82442781066277,0.44013443089148,0.5877724672706989
338,338,338,12-04,1.6235517824295869,-0.16624207652599646,0.14517433692514137
339,339,339,12-05,1.4538041259544912,-0.6786526014701904,-0.22113144970288098
340,340,340,12-06,1.134982654207615,-1.6410663460467805,-0.48251416571122635
341,341,341,12-07,1.7718551861792744,0.28143553236951857,-0.6299309999010342
342,342,342,12-08,1.304055139538145,-1.1306939334853907,-0.4995924218583223
343,343,343,12-09,1.5314167083078023,-0.4443665742473676,-0.49868404413890666
344,344,344,12-10,1.882617516960972,0.6157893917302749,-0.22207751492160277
